"","percentile","suitability","km2"
"1","0.1%",3.99555511165772e-07,70764.842120381
"2","0.2%",7.4635954661062e-07,70693.2506551569
"3","0.3%",1.02922909945846e-06,70623.135302618
"4","0.4%",1.3131625337337e-06,70552.2818937365
"5","0.5%",1.55339489538164e-06,70480.6904285125
"6","0.6%",1.81152286700126e-06,70410.5750759735
"7","0.7%",2.01530071421985e-06,70339.721667092
"8","0.8%",2.26028955694346e-06,70268.8682582106
"9","0.9%",2.51488710887315e-06,70198.0148493291
"10","1.0%",2.75254836878958e-06,70127.1614404476
"11","1.1%",3.0131512232856e-06,70056.3080315661
"12","1.2%",3.264667611802e-06,69984.7165663421
"13","1.3%",3.48114089092633e-06,69914.6012138032
"14","1.4%",3.69479278106155e-06,69843.7478049217
"15","1.5%",3.89347309237564e-06,69772.8943960402
"16","1.6%",4.13007901443052e-06,69702.0409871587
"17","1.7%",4.37274068190163e-06,69631.1875782772
"18","1.8%",4.60030310023285e-06,69560.3341693957
"19","1.9%",4.86446293734844e-06,69489.4807605143
"20","2.0%",5.13677173330507e-06,69418.6273516328
"21","2.1%",5.39663243444011e-06,69347.7739427513
"22","2.2%",5.68290990941023e-06,69276.9205338698
"23","2.3%",5.95459397345621e-06,69206.0671249883
"24","2.4%",6.23548785370076e-06,69135.2137161068
"25","2.5%",6.51967332032655e-06,69064.3603072254
"26","2.6%",6.83556067997415e-06,68993.5068983439
"27","2.7%",7.17325058303686e-06,68922.6534894624
"28","2.8%",7.51296101952903e-06,68851.8000805809
"29","2.9%",7.89314788107731e-06,68780.9466716994
"30","3.0%",8.19476349533943e-06,68710.0932628179
"31","3.1%",8.56014989949472e-06,68639.2398539365
"32","3.2%",8.87384630914312e-06,68568.386445055
"33","3.3%",9.2221486966082e-06,68497.5330361735
"34","3.4%",9.6014128303068e-06,68426.679627292
"35","3.5%",1.00703038015126e-05,68355.8262184105
"36","3.6%",1.04940440905921e-05,68284.972809529
"37","3.7%",1.08517170474443e-05,68214.1194006476
"38","3.8%",1.12880157303152e-05,68143.2659917661
"39","3.9%",1.17249949198595e-05,68072.4125828846
"40","4.0%",1.21807706818799e-05,68001.5591740031
"41","4.1%",1.26686963085376e-05,67931.4438214642
"42","4.2%",1.3100637761454e-05,67860.5904125827
"43","4.3%",1.3557313968704e-05,67789.7370037012
"44","4.4%",1.40614120937244e-05,67718.8835948197
"45","4.5%",1.45861363307631e-05,67648.0301859382
"46","4.6%",1.50133476381598e-05,67577.1767770567
"47","4.7%",1.56173805862636e-05,67506.3233681753
"48","4.8%",1.61194257088937e-05,67434.7319029512
"49","4.9%",1.67187031820504e-05,67364.6165504123
"50","5.0%",1.7394814221916e-05,67293.7631415308
"51","5.1%",1.8059637341139e-05,67222.9097326493
"52","5.2%",1.87553985597333e-05,67152.0563237678
