"","nlocs","scheme","ratio","change"
"1",50,"grid",0.909090909090909,"-90%"
"2",60,"grid",1.07142857142857,"-90%"
"3",70,"grid",0.740740740740741,"-90%"
"4",80,"grid",1.66666666666667,"-90%"
"5",90,"grid",1.14285714285714,"-90%"
"6",100,"grid",0.681818181818182,"-90%"
"7",110,"grid",1.42857142857143,"-90%"
"8",120,"grid",0.697674418604651,"-90%"
"9",130,"grid",0.909090909090909,"-90%"
"10",140,"grid",1.15384615384615,"-90%"
"11",150,"grid",1.55172413793103,"-90%"
"12",160,"grid",0.793650793650794,"-90%"
"13",170,"grid",1.19402985074627,"-90%"
"14",180,"grid",0.724637681159421,"-90%"
"15",190,"grid",1.08108108108108,"-90%"
"16",200,"grid",0.930232558139535,"-90%"
"17",210,"grid",1.17647058823529,"-90%"
"18",220,"grid",0.87912087912088,"-90%"
"19",230,"grid",0.786516853932584,"-90%"
"20",240,"grid",0.786516853932585,"-90%"
"21",250,"grid",1.02040816326531,"-90%"
"22",260,"grid",0.761904761904762,"-90%"
"23",270,"grid",0.952380952380952,"-90%"
"24",280,"grid",1.19266055045872,"-90%"
"25",290,"grid",1.06194690265487,"-90%"
"26",300,"grid",1.16666666666667,"-90%"
"27",50,"random",0.869565217391305,"-90%"
"28",60,"random",2.5,"-90%"
"29",70,"random",1.71428571428571,"-90%"
"30",80,"random",1.76470588235294,"-90%"
"31",90,"random",2.30769230769231,"-90%"
"32",100,"random",0.454545454545455,"-90%"
"33",110,"random",1.02564102564103,"-90%"
"34",120,"random",1.42857142857143,"-90%"
"35",130,"random",0.576923076923077,"-90%"
"36",140,"random",1.25,"-90%"
"37",150,"random",1.11111111111111,"-90%"
"38",160,"random",0.483870967741936,"-90%"
"39",170,"random",0.9375,"-90%"
"40",180,"random",0.933333333333334,"-90%"
"41",190,"random",0.845070422535211,"-90%"
"42",200,"random",0.441176470588235,"-90%"
"43",210,"random",1.16883116883117,"-90%"
"44",220,"random",0.697674418604651,"-90%"
"45",230,"random",0.740740740740741,"-90%"
"46",240,"random",1,"-90%"
"47",250,"random",0.733944954128441,"-90%"
"48",260,"random",1.21739130434783,"-90%"
"49",270,"random",1.1,"-90%"
"50",280,"random",0.956521739130435,"-90%"
"51",290,"random",1.12244897959184,"-90%"
"52",300,"random",1.32743362831858,"-90%"
"53",50,"grid",1.38888888888889,"-80%"
"54",60,"grid",1,"-80%"
"55",70,"grid",0.862068965517242,"-80%"
"56",80,"grid",0.769230769230769,"-80%"
"57",90,"grid",0.806451612903226,"-80%"
"58",100,"grid",0.681818181818182,"-80%"
"59",110,"grid",0.853658536585366,"-80%"
"60",120,"grid",0.888888888888889,"-80%"
"61",130,"grid",0.865384615384616,"-80%"
"62",140,"grid",1.16071428571429,"-80%"
"63",150,"grid",0.76271186440678,"-80%"
"64",160,"grid",0.615384615384616,"-80%"
"65",170,"grid",1.11111111111111,"-80%"
"66",180,"grid",0.878378378378379,"-80%"
"67",190,"grid",0.808823529411765,"-80%"
"68",200,"grid",1.18421052631579,"-80%"
"69",210,"grid",0.987654320987654,"-80%"
"70",220,"grid",1.03896103896104,"-80%"
"71",230,"grid",0.721649484536083,"-80%"
"72",240,"grid",1.02150537634409,"-80%"
"73",250,"grid",1.08247422680412,"-80%"
"74",260,"grid",0.714285714285714,"-80%"
"75",270,"grid",0.925925925925926,"-80%"
"76",280,"grid",0.818181818181818,"-80%"
"77",290,"grid",0.982905982905983,"-80%"
"78",300,"grid",0.701754385964912,"-80%"
"79",50,"random",0.666666666666667,"-80%"
"80",60,"random",1.13636363636364,"-80%"
"81",70,"random",0.689655172413793,"-80%"
"82",80,"random",0.434782608695652,"-80%"
"83",90,"random",1.25,"-80%"
"84",100,"random",0.909090909090909,"-80%"
"85",110,"random",0.416666666666667,"-80%"
"86",120,"random",0.568181818181818,"-80%"
"87",130,"random",0.638297872340426,"-80%"
"88",140,"random",0.531914893617021,"-80%"
"89",150,"random",0.76271186440678,"-80%"
"90",160,"random",1.13636363636364,"-80%"
"91",170,"random",1.04166666666667,"-80%"
"92",180,"random",0.873015873015873,"-80%"
"93",190,"random",0.645161290322581,"-80%"
"94",200,"random",0.855263157894737,"-80%"
"95",210,"random",0.602409638554217,"-80%"
"96",220,"random",0.875,"-80%"
"97",230,"random",1,"-80%"
"98",240,"random",1.08910891089109,"-80%"
"99",250,"random",1.08910891089109,"-80%"
"100",260,"random",0.63953488372093,"-80%"
"101",270,"random",0.973451327433629,"-80%"
"102",280,"random",0.815217391304348,"-80%"
"103",290,"random",0.720338983050848,"-80%"
"104",300,"random",1.21621621621622,"-80%"
"105",50,"grid",1.05263157894737,"-70%"
"106",60,"grid",1.42857142857143,"-70%"
"107",70,"grid",0.595238095238095,"-70%"
"108",80,"grid",0.729166666666667,"-70%"
"109",90,"grid",1.07843137254902,"-70%"
"110",100,"grid",0.714285714285714,"-70%"
"111",110,"grid",1.14285714285714,"-70%"
"112",120,"grid",0.909090909090909,"-70%"
"113",130,"grid",0.579710144927536,"-70%"
"114",140,"grid",0.846560846560846,"-70%"
"115",150,"grid",0.476190476190476,"-70%"
"116",160,"grid",0.99502487562189,"-70%"
"117",170,"grid",0.966183574879227,"-70%"
"118",180,"grid",1.07843137254902,"-70%"
"119",190,"grid",0.843881856540084,"-70%"
"120",200,"grid",1.125,"-70%"
"121",210,"grid",0.805860805860806,"-70%"
"122",220,"grid",0.987654320987654,"-70%"
"123",230,"grid",0.879120879120879,"-70%"
"124",240,"grid",0.881226053639847,"-70%"
"125",250,"grid",0.918367346938775,"-70%"
"126",260,"grid",0.875420875420875,"-70%"
"127",270,"grid",0.930930930930931,"-70%"
"128",280,"grid",0.973451327433628,"-70%"
"129",290,"grid",0.903954802259887,"-70%"
"130",300,"grid",0.911680911680912,"-70%"
"131",50,"random",1.40350877192982,"-70%"
"132",60,"random",1.01449275362319,"-70%"
"133",70,"random",0.574712643678161,"-70%"
"134",80,"random",1.15942028985507,"-70%"
"135",90,"random",0.833333333333333,"-70%"
"136",100,"random",1.33333333333333,"-70%"
"137",110,"random",0.864197530864197,"-70%"
"138",120,"random",0.62015503875969,"-70%"
"139",130,"random",0.722222222222222,"-70%"
"140",140,"random",0.747126436781609,"-70%"
"141",150,"random",0.818713450292398,"-70%"
"142",160,"random",0.303030303030303,"-70%"
"143",170,"random",1.16161616161616,"-70%"
"144",180,"random",0.666666666666667,"-70%"
"145",190,"random",0.958904109589041,"-70%"
"146",200,"random",1.04166666666667,"-70%"
"147",210,"random",0.912698412698413,"-70%"
"148",220,"random",0.980392156862745,"-70%"
"149",230,"random",0.879629629629629,"-70%"
"150",240,"random",1.19341563786008,"-70%"
"151",250,"random",0.942760942760943,"-70%"
"152",260,"random",1.04575163398693,"-70%"
"153",270,"random",1.04761904761905,"-70%"
"154",280,"random",0.645161290322581,"-70%"
"155",290,"random",0.727272727272727,"-70%"
"156",300,"random",1.02981029810298,"-70%"
"157",50,"grid",1.19047619047619,"-60%"
"158",60,"grid",1.19047619047619,"-60%"
"159",70,"grid",0.833333333333333,"-60%"
"160",80,"grid",0.642857142857143,"-60%"
"161",90,"grid",0.9375,"-60%"
"162",100,"grid",0.986842105263158,"-60%"
"163",110,"grid",0.872093023255814,"-60%"
"164",120,"grid",1.25,"-60%"
"165",130,"grid",1.07843137254902,"-60%"
"166",140,"grid",1.15,"-60%"
"167",150,"grid",0.819672131147541,"-60%"
"168",160,"grid",0.912698412698413,"-60%"
"169",170,"grid",1.00746268656716,"-60%"
"170",180,"grid",1.05633802816901,"-60%"
"171",190,"grid",1.19402985074627,"-60%"
"172",200,"grid",0.950704225352113,"-60%"
"173",210,"grid",0.777777777777778,"-60%"
"174",220,"grid",1.01190476190476,"-60%"
"175",230,"grid",0.947368421052632,"-60%"
"176",240,"grid",0.978260869565217,"-60%"
"177",250,"grid",0.9375,"-60%"
