"","nlocs","scheme","ratio","change"
"1",50,"grid",1.42857142857143,"-90%"
"2",50,"random",0.769230769230769,"-90%"
"3",60,"grid",0,"-90%"
"4",60,"random",0.526315789473684,"-90%"
"5",70,"grid",0.833333333333333,"-90%"
"6",70,"random",1.36363636363636,"-90%"
"7",80,"grid",0.869565217391304,"-90%"
"8",80,"random",2.25806451612903,"-90%"
"9",90,"grid",1.2,"-90%"
"10",90,"random",3.46153846153846,"-90%"
"11",100,"grid",0.666666666666667,"-90%"
"12",100,"random",0.869565217391305,"-90%"
"13",110,"grid",1,"-90%"
"14",110,"random",1.57894736842105,"-90%"
"15",120,"grid",1.17647058823529,"-90%"
"16",120,"random",0,"-90%"
"17",130,"grid",0.681818181818182,"-90%"
"18",130,"random",2.28571428571429,"-90%"
"19",140,"grid",0.909090909090909,"-90%"
"20",140,"random",0.697674418604651,"-90%"
"21",150,"grid",1,"-90%"
"22",150,"random",0.789473684210526,"-90%"
"23",160,"grid",1.13636363636364,"-90%"
"24",160,"random",1.2,"-90%"
"25",170,"grid",0.784313725490196,"-90%"
"26",170,"random",0.714285714285714,"-90%"
"27",180,"grid",0.909090909090909,"-90%"
"28",180,"random",0.943396226415094,"-90%"
"29",190,"grid",1.2,"-90%"
"30",190,"random",0.508474576271187,"-90%"
"31",200,"grid",1.01694915254237,"-90%"
"32",200,"random",1.40845070422535,"-90%"
"33",210,"grid",1.01694915254237,"-90%"
"34",210,"random",1.03448275862069,"-90%"
"35",220,"grid",1.04477611940299,"-90%"
"36",220,"random",1.48148148148148,"-90%"
"37",230,"grid",0.882352941176471,"-90%"
"38",230,"random",1.40625,"-90%"
"39",240,"grid",1.04477611940299,"-90%"
"40",240,"random",1.38888888888889,"-90%"
"41",250,"grid",0.769230769230769,"-90%"
"42",250,"random",1.29032258064516,"-90%"
"43",260,"grid",1.02564102564103,"-90%"
"44",260,"random",0.975609756097561,"-90%"
"45",270,"grid",0.476190476190476,"-90%"
"46",270,"random",0.72289156626506,"-90%"
"47",280,"grid",0.941176470588236,"-90%"
"48",280,"random",0.740740740740741,"-90%"
"49",290,"grid",1.16279069767442,"-90%"
"50",290,"random",0.731707317073171,"-90%"
"51",300,"grid",1.12359550561798,"-90%"
"52",300,"random",0.571428571428572,"-90%"
"53",50,"grid",1.42857142857143,"-80%"
"54",50,"random",0.384615384615385,"-80%"
"55",60,"grid",1,"-80%"
"56",60,"random",0.789473684210527,"-80%"
"57",70,"grid",0.833333333333333,"-80%"
"58",70,"random",1.13636363636364,"-80%"
"59",80,"grid",0.652173913043478,"-80%"
"60",80,"random",1.61290322580645,"-80%"
"61",90,"grid",1.2,"-80%"
"62",90,"random",1.73076923076923,"-80%"
"63",100,"grid",1.16666666666667,"-80%"
"64",100,"random",1.08695652173913,"-80%"
"65",110,"grid",1.16666666666667,"-80%"
"66",110,"random",1.18421052631579,"-80%"
"67",120,"grid",0.882352941176471,"-80%"
"68",120,"random",0.185185185185185,"-80%"
"69",130,"grid",0.909090909090909,"-80%"
"70",130,"random",2,"-80%"
"71",140,"grid",1.25,"-80%"
"72",140,"random",0.581395348837209,"-80%"
"73",150,"grid",0.875,"-80%"
"74",150,"random",0.526315789473684,"-80%"
"75",160,"grid",1.47727272727273,"-80%"
"76",160,"random",1.1,"-80%"
"77",170,"grid",1.37254901960784,"-80%"
"78",170,"random",0.476190476190476,"-80%"
"79",180,"grid",1.09090909090909,"-80%"
"80",180,"random",1.32075471698113,"-80%"
"81",190,"grid",1.4,"-80%"
"82",190,"random",1.01694915254237,"-80%"
"83",200,"grid",1.4406779661017,"-80%"
"84",200,"random",0.985915492957747,"-80%"
"85",210,"grid",1.35593220338983,"-80%"
"86",210,"random",0.689655172413793,"-80%"
"87",220,"grid",0.895522388059702,"-80%"
"88",220,"random",1.38888888888889,"-80%"
"89",230,"grid",1.02941176470588,"-80%"
"90",230,"random",0.78125,"-80%"
"91",240,"grid",1.26865671641791,"-80%"
"92",240,"random",1.45833333333333,"-80%"
"93",250,"grid",1.21794871794872,"-80%"
"94",250,"random",1.12903225806452,"-80%"
"95",260,"grid",0.705128205128205,"-80%"
"96",260,"random",0.853658536585366,"-80%"
"97",270,"grid",0.714285714285714,"-80%"
"98",270,"random",0.72289156626506,"-80%"
"99",280,"grid",0.823529411764706,"-80%"
"100",280,"random",1.04938271604938,"-80%"
"101",290,"grid",0.872093023255814,"-80%"
"102",290,"random",1.15853658536585,"-80%"
"103",300,"grid",0.898876404494382,"-80%"
"104",300,"random",0.714285714285715,"-80%"
"105",50,"grid",0.952380952380952,"-70%"
"106",50,"random",1.28205128205128,"-70%"
"107",60,"grid",0.833333333333333,"-70%"
"108",60,"random",0.526315789473684,"-70%"
"109",70,"grid",0.555555555555555,"-70%"
"110",70,"random",0.909090909090909,"-70%"
"111",80,"grid",0.72463768115942,"-70%"
"112",80,"random",1.29032258064516,"-70%"
